state,year,old_block,plot,term.trmt,herb.trmt,cc.bm.kgha,yield.kgha,weed.bm.term.kgha,weed.bm.harv.kgha,density.harv.allspp.m2,soybean.pop.ha,density.term.allspp.m2,rye.pop.ha,region,DPP,soybean.plant.date,rye.plant.date,termination.date,plotID
AR,2017,AR3,305,Late,Weedy,3780.3,2420.027517,0,2339.6,15,NA,NA,NA,South Central,NA,NA,NA,NA,A73LW
AR,2017,AR3,311,Mid,Weedy,1886,3360.861342,0,393.3,8,NA,NA,NA,South Central,NA,NA,NA,NA,A73MW
AR,2017,AR3,308,No cover,Weedy,0,2933.93058,NA,2745.1,16,NA,NA,NA,South Central,NA,NA,NA,NA,A73NW
AR,2017,AR4,403,Early,Sequential,582.2,3429.269509,21.1,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A74EQ
AR,2017,AR4,409,Late,Sequential,3702.3,3097.108869,0,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A74LQ
AR,2017,AR4,408,Mid,Sequential,3036.8,3539.458052,0,1439.2,29.15,NA,NA,NA,South Central,NA,NA,NA,NA,A74MQ
AR,2017,AR4,411,No cover,Sequential,0,3401.35685,NA,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A74NQ
AR,2017,AR4,401,Early,Standard,604.4,3140.484255,0,80.5,10,NA,NA,NA,South Central,NA,NA,NA,NA,A74ER
AR,2017,AR4,404,Late,Standard,3749,3238.754536,0,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A74LR
AR,2017,AR4,407,Mid,Standard,2905.9,4272.497639,0,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A74MR
AR,2017,AR4,410,No cover,Standard,0,3700.288134,NA,0,0,NA,NA,NA,South Central,NA,NA,NA,NA,A74NR
AR,2017,AR4,405,Early,Weedy,520.9,2606.067603,0,934,7,NA,NA,NA,South Central,NA,NA,NA,NA,A74EW
AR,2017,AR4,412,Late,Weedy,3265.8,3265.426632,0,1082.1,3,NA,NA,NA,South Central,NA,NA,NA,NA,A74LW
AR,2017,AR4,402,Mid,Weedy,3225.4,2979.685187,0,3271.2,13,NA,NA,NA,South Central,NA,NA,NA,NA,A74MW
AR,2017,AR4,406,No cover,Weedy,0,2248.076678,NA,3628.6,16,NA,NA,NA,South Central,NA,NA,NA,NA,A74NW
AR,2018,AR1,105,Early,Sequential,199.3,3337.077984,7.1,0,0,37392.35749,NA,NA,South Central,NA,NA,NA,NA,A81EQ
AR,2018,AR1,108,Late,Sequential,3533.5,3765.674645,0,0,0,20395.83136,NA,NA,South Central,NA,NA,NA,NA,A81LQ
AR,2018,AR1,102,Mid,Sequential,3615.7,2729.596626,0,0,0,23795.13659,NA,NA,South Central,NA,NA,NA,NA,A81MQ
AR,2018,AR1,111,No cover,Sequential,0,2323.901637,0,0,0,33993.05227,NA,NA,South Central,NA,NA,NA,NA,A81NQ
AR,2018,AR1,107,Early,Standard,246.1,2287.562014,8.9,0,0,33993.05227,NA,NA,South Central,NA,NA,NA,NA,A81ER
AR,2018,AR1,101,Late,Standard,4515,2520.716896,0,0,0,23795.13659,NA,NA,South Central,NA,NA,NA,NA,A81LR
AR,2018,AR1,104,Mid,Standard,2618.3,3243.415507,0,0,0,23795.13659,NA,NA,South Central,NA,NA,NA,NA,A81MR
AR,2018,AR1,110,No cover,Standard,0,3948.772825,0,0,0,39092.01011,NA,NA,South Central,NA,NA,NA,NA,A81NR
AR,2018,AR1,103,Early,Weedy,412.3,1304.141447,0,6591,10,30593.74704,NA,NA,South Central,NA,NA,NA,NA,A81EW
AR,2018,AR1,106,Late,Weedy,3073.8,1759.720344,0,2357,7,16996.52613,NA,NA,South Central,NA,NA,NA,NA,A81LW
AR,2018,AR1,109,Mid,Weedy,3138.3,1884.901973,0,3078,5,30593.74704,NA,NA,South Central,NA,NA,NA,NA,A81MW
AR,2018,AR1,112,No cover,Weedy,0,2971.843059,0,1992,5,35692.70488,NA,NA,South Central,NA,NA,NA,NA,A81NW
AR,2018,AR2,203,Early,Sequential,352.1,3044.593195,82.9,0,0,33993.05227,NA,NA,South Central,NA,NA,NA,NA,A82EQ
AR,2018,AR2,210,Late,Sequential,3347.5,2061.442894,0,0,0,25494.7892,NA,NA,South Central,NA,NA,NA,NA,A82LQ
AR,2018,AR2,209,Mid,Sequential,3503.2,1883.745591,0,0,0,30593.74704,NA,NA,South Central,NA,NA,NA,NA,A82MQ
AR,2018,AR2,208,No cover,Sequential,0,2587.459164,0,0,0,30593.74704,NA,NA,South Central,NA,NA,NA,NA,A82NQ
AR,2018,AR2,211,Early,Standard,247.7,2229.459378,119.4,0,0,40791.66272,NA,NA,South Central,NA,NA,NA,NA,A82ER
AR,2018,AR2,205,Late,Standard,2834.3,2331.141206,0,0,0,23795.13659,NA,NA,South Central,NA,NA,NA,NA,A82LR
AR,2018,AR2,207,Mid,Standard,2418.6,2098.978774,0,0,0,15296.87352,NA,NA,South Central,NA,NA,NA,NA,A82MR
AR,2018,AR2,202,No cover,Standard,0,3844.609871,0,3151,1,28894.09443,NA,NA,South Central,NA,NA,NA,NA,A82NR
AR,2018,AR2,201,Early,Weedy,359,1433.155528,41.4,3671,7,44190.96795,NA,NA,South Central,NA,NA,NA,NA,A82EW
AR,2018,AR2,204,Late,Weedy,3352.2,2127.17499,0,0,0,33993.05227,NA,NA,South Central,NA,NA,NA,NA,A82LW
AR,2018,AR2,206,Mid,Weedy,2675.3,2863.555235,0,1391,3,27194.44181,NA,NA,South Central,NA,NA,NA,NA,A82MW
AR,2018,AR2,212,No cover,Weedy,0,1031.882259,0,5712,7,23795.13659,NA,NA,South Central,NA,NA,NA,NA,A82NW
AR,2018,AR3,306,Early,Sequential,412.3,2025.838747,0,0,0,28894.09443,NA,NA,South Central,NA,NA,NA,NA,A83EQ
AR,2018,AR3,310,Late,Sequential,3207.7,3008.147238,0,983,3,20395.83136,NA,NA,South Central,NA,NA,NA,NA,A83LQ
AR,2018,AR3,304,Mid,Sequential,2769.8,2159.420757,0,0,0,27194.44181,NA,NA,South Central,NA,NA,NA,NA,A83MQ
AR,2018,AR3,309,No cover,Sequential,0,2761.13793,0,1086,3,32293.39965,NA,NA,South Central,NA,NA,NA,NA,A83NQ
AR,2018,AR3,307,Early,Standard,258.2,2440.935428,26.9,0,0,28894.09443,NA,NA,South Central,NA,NA,NA,NA,A83ER
AR,2018,AR3,302,Late,Standard,2580.2,2224.762962,0,0,0,20395.83136,NA,NA,South Central,NA,NA,NA,NA,A83LR
AR,2018,AR3,301,Mid,Standard,1806.8,2159.908121,0,0,0,32293.39965,NA,NA,South Central,NA,NA,NA,NA,A83MR
AR,2018,AR3,303,No cover,Standard,0,2222.445768,0,0,0,32293.39965,NA,NA,South Central,NA,NA,NA,NA,A83NR
AR,2018,AR3,312,Early,Weedy,367.9,2078.686714,0,1961,5,39092.01011,NA,NA,South Central,NA,NA,NA,NA,A83EW
AR,2018,AR3,305,Late,Weedy,3780.3,2529.684391,0,0,0,27194.44181,NA,NA,South Central,NA,NA,NA,NA,A83LW
AR,2018,AR3,311,Mid,Weedy,1886,1723.98328,0,0,0,28894.09443,NA,NA,South Central,NA,NA,NA,NA,A83MW
AR,2018,AR3,308,No cover,Weedy,0,1024.935108,0,5851,7,39092.01011,NA,NA,South Central,NA,NA,NA,NA,A83NW
AR,2018,AR4,403,Early,Sequential,582.2,3106.227004,21.1,0,0,30593.74704,NA,NA,South Central,NA,NA,NA,NA,A84EQ
AR,2018,AR4,409,Late,Sequential,3702.3,1278.266855,0,0,0,33993.05227,NA,NA,South Central,NA,NA,NA,NA,A84LQ
AR,2018,AR4,408,Mid,Sequential,3036.8,1110.299108,0,0,0,28894.09443,NA,NA,South Central,NA,NA,NA,NA,A84MQ
AR,2018,AR4,411,No cover,Sequential,0,1916.297068,0,0,0,16996.52613,NA,NA,South Central,NA,NA,NA,NA,A84NQ
AR,2018,AR4,401,Early,Standard,604.4,1935.508066,0,0,0,32293.39965,NA,NA,South Central,NA,NA,NA,NA,A84ER
AR,2018,AR4,404,Late,Standard,3749,2322.652213,0,0,0,16996.52613,NA,NA,South Central,NA,NA,NA,NA,A84LR
AR,2018,AR4,407,Mid,Standard,2905.9,871.6990423,0,0,0,22095.48397,NA,NA,South Central,NA,NA,NA,NA,A84MR
AR,2018,AR4,410,No cover,Standard,0,3306.099364,0,0,0,25494.7892,NA,NA,South Central,NA,NA,NA,NA,A84NR
AR,2018,AR4,405,Early,Weedy,520.9,1872.602681,0,1537,3,23795.13659,NA,NA,South Central,NA,NA,NA,NA,A84EW
AR,2018,AR4,412,Late,Weedy,3265.8,2789.546814,0,0,0,25494.7892,NA,NA,South Central,NA,NA,NA,NA,A84LW
AR,2018,AR4,402,Mid,Weedy,3225.4,3100.033052,0,3347,6,25494.7892,NA,NA,South Central,NA,NA,NA,NA,A84MW
AR,2018,AR4,406,No cover,Weedy,0,2405.601546,0,5321,11,27194.44181,NA,NA,South Central,NA,NA,NA,NA,A84NW
AR,2019,AR1,105,Early,Sequential,482.9,4951.590095,207.7,NA,NA,299595.2167,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A91EQ
AR,2019,AR1,108,Late,Sequential,1730,2110.841795,237.3,NA,NA,254745.6333,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A91LQ
AR,2019,AR1,102,Mid,Sequential,461.2,4885.699655,68,NA,NA,290625.3,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A91MQ
AR,2019,AR1,111,No cover,Sequential,0,2028.147867,1807.2,NA,NA,258333.6,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A91NQ
AR,2019,AR1,107,Early,Standard,126,4084.992145,560.9,0,NA,227835.8833,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A91ER
AR,2019,AR1,101,Late,Standard,1146.4,3650.99166,114.7,0,NA,245775.7167,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A91LR
AR,2019,AR1,104,Mid,Standard,788.7,4670.70573,24.7,0,NA,285243.35,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A91MR
AR,2019,AR1,110,No cover,Standard,0,5466.091122,1326.6,0,NA,294213.2667,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A91NR
AR,2019,AR1,103,Early,Weedy,1320.6,3527.1051,204,480,NA,292419.2833,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A91EW
AR,2019,AR1,106,Late,Weedy,405.2,5326.574931,28.5,603.2,NA,283449.3667,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A91LW
AR,2019,AR1,109,Mid,Weedy,979.2,3006.463527,13.3,512.5,NA,299595.2167,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A91MW
AR,2019,AR1,112,No cover,Weedy,0,5522.071572,744,2279,NA,297801.2333,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A91NW
AR,2019,AR2,202,Early,Sequential,165.7,4566.405311,91.4,NA,NA,249363.6833,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A92EQ
AR,2019,AR2,204,Late,Sequential,856,3082.525854,30.3,NA,NA,279861.4,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A92LQ
AR,2019,AR2,206,Mid,Sequential,129.7,4871.992161,64.3,NA,NA,303183.1833,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A92MQ
AR,2019,AR2,205,No cover,Sequential,0,5190.304391,2939.8,NA,NA,274479.45,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A92NQ
AR,2019,AR2,209,Early,Standard,1880.9,2960.182614,144.8,0,NA,267303.5167,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A92ER
AR,2019,AR2,203,Late,Standard,2168.8,2941.840481,33.8,0,NA,251157.6667,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A92LR
AR,2019,AR2,211,Mid,Standard,313,2403.567639,71.1,0,NA,285243.35,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A92MR
AR,2019,AR2,201,No cover,Standard,0,5885.944499,1216,0,NA,233217.8333,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A92NR
AR,2019,AR2,207,Early,Weedy,246.8,4326.489095,290.6,161,NA,236805.8,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A92EW
AR,2019,AR2,212,Late,Weedy,737.6,5047.893306,34,491.1,NA,287037.3333,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A92LW
AR,2019,AR2,208,Mid,Weedy,90.2,4625.182446,132.2,661.2,NA,269097.5,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A92MW
AR,2019,AR2,210,No cover,Weedy,0,5190.187473,1338.4,584.3,NA,269097.5,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A92NW
AR,2019,AR3,311,Early,Sequential,269.5,3346.157764,177.5,NA,NA,261921.5667,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A93EQ
AR,2019,AR3,305,Late,Sequential,1845.9,5891.696877,41.9,NA,NA,261921.5667,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A93LQ
AR,2019,AR3,312,Mid,Sequential,548.8,5196.407523,131.7,NA,NA,260127.5833,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A93MQ
AR,2019,AR3,301,No cover,Sequential,0,5800.753198,NA,NA,NA,288831.3167,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A93NQ
AR,2019,AR3,307,Early,Standard,58,4520.975563,190.5,0,NA,238599.7833,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A93ER
AR,2019,AR3,310,Late,Standard,642.2,5260.310353,20.8,0,NA,258333.6,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A93LR
AR,2019,AR3,302,Mid,Standard,312,2244.455953,172.3,0,NA,243981.7333,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A93MR
AR,2019,AR3,308,No cover,Standard,0,4710.832067,1464.8,0,NA,287037.3333,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A93NR
AR,2019,AR3,306,Early,Weedy,282.3,1515.470764,321.6,586,NA,276273.4333,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A93EW
AR,2019,AR3,304,Late,Weedy,729.2,5598.606248,8.1,801.1,NA,288831.3167,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A93LW
AR,2019,AR3,303,Mid,Weedy,536.8,4601.134704,292.6,940.6,NA,276273.4333,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A93MW
AR,2019,AR3,309,No cover,Weedy,0,2982.443845,1374.4,1423.9,NA,269097.5,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A93NW
AR,2019,AR4,403,Early,Sequential,82,4634.592025,201.5,NA,NA,296007.25,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A94EQ
AR,2019,AR4,407,Late,Sequential,342.3,4006.530656,49.7,NA,NA,276273.4333,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A94LQ
AR,2019,AR4,406,Mid,Sequential,385.5,4392.010074,259.1,NA,NA,303183.1833,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A94MQ
AR,2019,AR4,408,No cover,Sequential,0,3816.865897,849.8,NA,NA,299595.2167,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A94NQ
AR,2019,AR4,405,Early,Standard,205.5,4171.62388,210.7,0,NA,296007.25,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A94ER
AR,2019,AR4,409,Late,Standard,907.7,2073.731948,208.9,0,NA,287037.3333,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A94LR
AR,2019,AR4,401,Mid,Standard,248,6228.36527,333.8,0,NA,251157.6667,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A94MR
AR,2019,AR4,410,No cover,Standard,0,2023.307452,568.7,0,NA,301389.2,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A94NR
AR,2019,AR4,404,Early,Weedy,571.3,5078.081593,409.4,797,NA,272685.4667,NA,NA,South Central,-58,5/15/2019,10/25/2018,3/18/2019,A94EW
AR,2019,AR4,412,Late,Weedy,1425.6,2047.635798,232.8,967.5,NA,290625.3,NA,NA,South Central,-22,5/15/2019,10/25/2018,4/23/2019,A94LW
AR,2019,AR4,402,Mid,Weedy,2038.7,3053.155994,59.7,1646.7,NA,279861.4,NA,NA,South Central,-42,5/15/2019,10/25/2018,4/3/2019,A94MW
AR,2019,AR4,411,No cover,Weedy,0,3705.064005,1860.4,1285,NA,299595.2167,NA,NA,South Central,NA,5/15/2019,10/25/2018,NA,A94NW
AR,2020,AR1,105,Early,Sequential,NA,2598.290577,NA,NA,NA,NA,NA,NA,South Central,-43,5/21/2020,11/1/2019,4/8/2020,A01EQ
AR,2020,AR1,108,Late,Sequential,NA,4093.019461,NA,NA,NA,NA,NA,NA,South Central,-12,5/21/2020,11/1/2019,5/9/2020,A01LQ
AR,2020,AR1,102,Mid,Sequential,NA,3366.762112,NA,NA,NA,NA,NA,NA,South Central,-24,5/21/2020,11/1/2019,4/27/2020,A01MQ
AR,2020,AR1,111,No cover,Sequential,0,3949.719716,NA,NA,NA,NA,NA,NA,South Central,NA,5/21/2020,11/1/2019,NA,A01NQ
AR,2020,AR1,107,Early,Standard,976.5,4136.771618,307.6,NA,NA,96875.1,NA,NA,South Central,-43,5/21/2020,11/1/2019,4/8/2020,A01ER
AR,2020,AR1,101,Late,Standard,2121.2,3194.752882,1069,NA,NA,175810.3667,NA,NA,South Central,-12,5/21/2020,11/1/2019,5/9/2020,A01LR
AR,2020,AR1,104,Mid,Standard,1024.1,3723.028167,444.5,NA,NA,170428.4167,NA,NA,South Central,-24,5/21/2020,11/1/2019,4/27/2020,A01MR
AR,2020,AR1,110,No cover,Standard,0,3729.062207,832.3,NA,NA,141724.6833,NA,NA,South Central,NA,5/21/2020,11/1/2019,NA,A01NR
AR,2020,AR1,103,Early,Weedy,521.5,538.6005357,NA,NA,NA,91493.15,NA,NA,South Central,-43,5/21/2020,11/1/2019,4/8/2020,A01EW
AR,2020,AR1,106,Late,Weedy,384,1546.16233,NA,NA,NA,147106.6333,NA,NA,South Central,-12,5/21/2020,11/1/2019,5/9/2020,A01LW
AR,2020,AR1,109,Mid,Weedy,1304.9,657.4664392,NA,NA,NA,168634.4333,NA,NA,South Central,-24,5/21/2020,11/1/2019,4/27/2020,A01MW
AR,2020,AR1,112,No cover,Weedy,0,872.6318822,NA,NA,NA,111226.9667,NA,NA,South Central,NA,5/21/2020,11/1/2019,NA,A01NW
AR,2020,AR2,202,Early,Sequential,NA,4108.709936,NA,NA,NA,NA,NA,NA,South Central,-43,5/21/2020,11/1/2019,4/8/2020,A02EQ
AR,2020,AR2,204,Late,Sequential,NA,4764.758638,NA,NA,NA,NA,NA,NA,South Central,-12,5/21/2020,11/1/2019,5/9/2020,A02LQ
AR,2020,AR2,206,Mid,Sequential,NA,4075.537411,NA,NA,NA,NA,NA,NA,South Central,-24,5/21/2020,11/1/2019,4/27/2020,A02MQ
AR,2020,AR2,205,No cover,Sequential,0,3988.245811,NA,NA,NA,NA,NA,NA,South Central,NA,5/21/2020,11/1/2019,NA,A02NQ
AR,2020,AR2,209,Early,Standard,1286.1,3745.562482,411.5,NA,NA,148900.6167,NA,NA,South Central,-43,5/21/2020,11/1/2019,4/8/2020,A02ER
AR,2020,AR2,203,Late,Standard,1630.8,3152.408656,892.2,NA,NA,193750.2,NA,NA,South Central,-12,5/21/2020,11/1/2019,5/9/2020,A02LR
AR,2020,AR2,211,Mid,Standard,3825.8,5106.589818,476.4,NA,NA,86111.2,NA,NA,South Central,-24,5/21/2020,11/1/2019,4/27/2020,A02MR
AR,2020,AR2,201,No cover,Standard,0,4618.661715,1091,NA,NA,188368.25,NA,NA,South Central,NA,5/21/2020,11/1/2019,NA,A02NR
AR,2020,AR2,207,Early,Weedy,1091.3,2222.571789,NA,NA,NA,202720.1167,NA,NA,South Central,-43,5/21/2020,11/1/2019,4/8/2020,A02EW
AR,2020,AR2,212,Late,Weedy,2613.1,1630.551592,NA,NA,NA,123784.85,NA,NA,South Central,-12,5/21/2020,11/1/2019,5/9/2020,A02LW
AR,2020,AR2,208,Mid,Weedy,3214,3133.072095,NA,NA,NA,132754.7667,NA,NA,South Central,-24,5/21/2020,11/1/2019,4/27/2020,A02MW
AR,2020,AR2,210,No cover,Weedy,0,359.823676,NA,NA,NA,105845.0167,NA,NA,South Central,NA,5/21/2020,11/1/2019,NA,A02NW
AR,2020,AR3,311,Early,Sequential,NA,4997.585647,NA,NA,NA,NA,NA,NA,South Central,-43,5/21/2020,11/1/2019,4/8/2020,A03EQ
AR,2020,AR3,305,Late,Sequential,NA,5309.145325,NA,NA,NA,NA,NA,NA,South Central,-12,5/21/2020,11/1/2019,5/9/2020,A03LQ
AR,2020,AR3,312,Mid,Sequential,NA,4780.460977,NA,NA,NA,NA,NA,NA,South Central,-24,5/21/2020,11/1/2019,4/27/2020,A03MQ
AR,2020,AR3,301,No cover,Sequential,0,4395.040401,NA,NA,NA,NA,NA,NA,South Central,NA,5/21/2020,11/1/2019,NA,A03NQ
AR,2020,AR3,307,Early,Standard,1447.6,4828.329184,177.4,NA,NA,190162.2333,NA,NA,South Central,-43,5/21/2020,11/1/2019,4/8/2020,A03ER
AR,2020,AR3,310,Late,Standard,4379.1,2600.595565,186.4,NA,NA,125578.8333,NA,NA,South Central,-12,5/21/2020,11/1/2019,5/9/2020,A03LR
AR,2020,AR3,302,Mid,Standard,651.7,5369.39284,525,NA,NA,141724.6833,NA,NA,South Central,-24,5/21/2020,11/1/2019,4/27/2020,A03MR
AR,2020,AR3,308,No cover,Standard,0,4718.863415,933.6,NA,NA,165046.4667,NA,NA,South Central,NA,5/21/2020,11/1/2019,NA,A03NR
AR,2020,AR3,306,Early,Weedy,1373.4,821.0018544,NA,NA,NA,111226.9667,NA,NA,South Central,-43,5/21/2020,11/1/2019,4/8/2020,A03EW
AR,2020,AR3,304,Late,Weedy,2616,1030.389349,NA,NA,NA,168634.4333,NA,NA,South Central,-12,5/21/2020,11/1/2019,5/9/2020,A03LW
AR,2020,AR3,303,Mid,Weedy,1884,598.6477555,NA,NA,NA,191956.2167,NA,NA,South Central,-24,5/21/2020,11/1/2019,4/27/2020,A03MW
AR,2020,AR3,309,No cover,Weedy,0,790.3545535,NA,NA,NA,148900.6167,NA,NA,South Central,NA,5/21/2020,11/1/2019,NA,A03NW
AR,2020,AR4,403,Early,Sequential,NA,4460.181247,NA,NA,NA,NA,NA,NA,South Central,-43,5/21/2020,11/1/2019,4/8/2020,A04EQ
